type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:228451. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/22355?id=pbdb-occ-228451		22355		PBDB	22355	Makapansgat - Mbr. 4	FossilSpecimen			{"sampleSizeValue":"1", "sampleSizeUnit":"specimens" }	pbdb:occ:228451			Ewer							present				R. F. Ewer. 1958. The fossil suidae of Makapansgat. Journal of Zoology 130(3):329-371				ETE Size: both; ETE reference list: 933, ; ETE museum list:						Simopithecus darti | Simopithecus Andrews 1916																				| ZA |  |  |  |  |  |	Africa				South Africa	ZA				"Cave NE of Potgietersrus, N Transvaal."	ZA											-24.200001	28.950001	not recorded (forced WGS84)		0.0001		-24.200001	28.950001									requires verification											Pliocene				"stratigraphic comments:ETE dating method: time_unit, ETE age comment: ""Fauna /paleomag data sugg age =~3.0 Ma,range=3.32 to 2.6 Ma"" | lithostratigraphic description:ETE rock type adj: 0, ETE lithology comments: A:pnk-rd sndy loam ;B:rd-br-pnk loam"		Makapansgat	14												Theropithecus				1958	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		darti		species	species		gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:339340. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/32052?id=pbdb-occ-339340		32052		PBDB	32052	Ahl al Oughlam - general	FossilSpecimen			{"sampleSizeValue":"39", "sampleSizeUnit":"specimens" }	pbdb:occ:339340			Raynal et al.							present				J. P. Raynal, J.P. Texier, and Geraads D., & Sbihi-Alaoui FZ. 1990. Un nouveau gisement paleontologique plio-pleistocene en Afrique du Nord: Ahl al Oughlam (ancienne carriere Deprez) a Casablanca (Maroc). C. R. Acad. Sci. Paris, Serie II 310:315-320										Theropithecus atlanticus | Theropithecus Geoffroy 1843														general faunal/floral; some macrofossils						| MA |  |  |  |  |  |	North America				United States	US	Massachusetts			10 km from present day seashore, on SE border of Casablanca. Lat/long unpublished, assigned from Casablanca	MA											33.583332	-7.65	not recorded (forced WGS84)		0.0166667		33.583332	-7.65									requires verification	estimated from map										Late Pliocene				stratigraphic scale:formation | stratigraphic comments:Biostratigraphic comparison of fauna suggests age of ~2.5Ma, >2.0Ma for NaO | lithostratigraphic description:M1: biocalcarenite. M2: conglomerate. D2: sands. C1: sands among rockfalls. C2: calcareous		M1, M2, D2, C1, C2 or LR													Theropithecus Geoffroy 1843				1990	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		atlanticus		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	2015-09-20				Royal Belgian Institute of Natural Sciences. RBINS vertebrates. Dataset DOI: doi:10.15468/qxy4mc. Record ID: urn:catalog:RBINS:Mammalia:590361. Source: http://biocase.naturalsciences.be/biocase/pywrapper.cgi?dsa=darwin2_abcd (source published on 2015-09-21)	http://portal.vertnet.org/o/rbins/mammalia?id=urn-catalog-rbins-mammalia-590361				RBINS	Mammalia		FossilSpecimen				urn:catalog:RBINS:Mammalia:590361	590361									present																																		| Ethiopia |  |  |  |  |  |	Africa				Ethiopia	ET					Ethiopia											8	38	not recorded				8	38									requires verification																							Frechkop Serge (M.)							Theropithecus gelada (Rüppell, 1835)					Primates Linnaeus | Cercopithecidae Gray | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada		species				ICZN											Royal Belgian Institute of Natural Sciences. RBINS vertebrates. Dataset DOI: doi:10.15468/qxy4mc. Source: http://biocase.naturalsciences.be/biocase/pywrapper.cgi?dsa=darwin2_abcd (source published on 2015-09-21)	8138eb72-f762-11e1-a439-00145eb45e9a	e88c96a3-5884-4e51-a580-e417ca4c9eed	collections@naturalsciences.be	Royal Belgian Institute of Natural Sciences	2015-09-21	2016-07-25	2015-09-20	0	0	0	1		specimen	0
PhysicalObject	2015-10-12	CC-BY-NC			Muséum d'histoire naturelle de la Ville de Genève. Mammals housed at MHNG, Geneva. Record ID: urn:catalog:MHNG:Mammals:MHNG-MAM-835.052. Source: http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_MHNG (source published on 2015-10-12)	http://portal.vertnet.org/o/mhng/mammals?id=urn-catalog-mhng-mammals-mhng-mam-835-052				MHNG	Mammals		PreservedSpecimen				urn:catalog:MHNG:Mammals:MHNG-MAM-835.052	MHNG-MAM-835.052									present																																		| Ethiopia |  |  |  |  |  |	Africa				Ethiopia	ET				Simien Monts/Amara	Ethiopia | Simien Monts/Amara											13.1833	38.0667	not recorded (forced WGS84)														requires verification																														Theropithecus gelada subsp. gelada					Primates | Cercopithecidae |	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada	gelada	subspecies				ICZN											Muséum d'histoire naturelle de la Ville de Genève. Mammals housed at MHNG, Geneva. Source: http://provider.gbif.ch/biocase/pywrapper.cgi?dsa=Gbif_ch_MHNG (source published on 2015-10-12)	5a659248-1f70-11e3-b2c5-00145eb45e9a	23539a57-1347-4dd3-af2a-cf9478563baa	manuel.ruedi@ville-ge.ch	Manuel Ruedi	2015-10-12	2016-07-25	2015-09-20	0	0	0	0		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:221437. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21283?id=pbdb-occ-221437		21283		PBDB	21283	West Turkana - Lomekwi IV	FossilSpecimen			{"sampleSizeValue":"9", "sampleSizeUnit":"specimens" }	pbdb:occ:221437			Harris et al.							present				J. M. Harris, F.H. Brown, and MG Leakey. 1988. Stratigraphy and Paleontology of pliocene and Pleistocene Localities West of Lake Turkana, Kenya. Contributions in Science, Natural History Museum of Los Angeles County 399:1-128				ETE Size: macro; ETE reference list: 6, ; ETE museum list: KENYA N.M.						Theropithecus brumpti | Theropithecus Geoffroy 1843														surface (in situ)						| KE | Rift Valley | West Turkana |  |  |  |	Africa				Kenya	KE	Rift Valley	West Turkana		see Lower Lomekwi Fauna	KE | Rift Valley | West Turkana											3.9	35.706001	not recorded (forced WGS84)		0.0001		3.9	35.706001									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: between Lokalalei Tuff (2.52 +/- 0.05) and Tulu Bor Tuff (3.36 +/- 0.04) radiometric intage_min | lithostratigraphic description:ETE rock type adj: ., ETE lithology comments: interbedded	Omo	Nachukui	Lomekwi	localbed:just above Tulu Bor Tuff											Theropithecus Geoffroy 1843				1988	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:221862. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21354?id=pbdb-occ-221862		21354		PBDB	21354	West Turkana - Lomekwi I	FossilSpecimen			{"sampleSizeValue":"12", "sampleSizeUnit":"specimens" }	pbdb:occ:221862			Harris et al.							present				J. M. Harris, F.H. Brown, and MG Leakey. 1988. Stratigraphy and Paleontology of pliocene and Pleistocene Localities West of Lake Turkana, Kenya. Contributions in Science, Natural History Museum of Los Angeles County 399:1-128				ETE Size: macro; ETE reference list: 6, ; ETE museum list: KNM						Theropithecus brumpti | Theropithecus Geoffroy 1843														surface (in situ)						| KE | Rift Valley | West Turkana |  |  |  |	Africa				Kenya	KE	Rift Valley	West Turkana		see Upper Lomekwi Fauna	KE | Rift Valley | West Turkana											3.892	35.75	not recorded (forced WGS84)		0.0001		3.892	35.75									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: between Lokalalei Tuff (2.52 +/- 0.05) and Tulu Bor Tuff (3.36 +/- 0.04) radiometric intage_min | lithostratigraphic description:ETE rock type adj: ., ETE lithology comments: see Upper L	Omo	Nachukui	Upper Lomekwi	localbed:above Emekwi Tuff/ below Lokal											Theropithecus Geoffroy 1843				1988	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:223243. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21544?id=pbdb-occ-223243		21544		PBDB	21544	Omo - L.19	FossilSpecimen			{"sampleSizeValue":"1", "sampleSizeUnit":"specimens", "geogscale":"basin" }	pbdb:occ:223243			Wesselman							present				H. B. Wesselman. 1984. The Omo Micromammals: Systematics and Paleoecology of Early Man Sites from Ethiopia. Contributions to Vertebrate Evolution 17				ETE Size: macro; ETE reference list: 88, ; ETE museum list: BMNH: British Museum (Natural History), ENM, MNHN: Muséum National d'Histoire Naturelle, Paris, France, UCBE						Theropithecus brumpti | Theropithecus Geoffroy 1843														surface (in situ)						| ET |  |  |  |  |  |	Africa				Ethiopia	ET				Omo River Valley, lat/long obtained from grid overlain on aerial photo	ET											5.0908	36.023102	not recorded (forced WGS84)		0.0001		5.0908	36.023102									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: Max = Tuff D (2.52+-.05ma), Min = Tuff E radiometric intage_min | lithostratigraphic description:ETE rock type adj: unconsolidated, ETE lithology comments: sand obliquely stratified betw	Omo	Shungura	D	localbed:D-4											Theropithecus Geoffroy 1843				1984	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:223251. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21545?id=pbdb-occ-223251		21545		PBDB	21545	Omo - L.28	FossilSpecimen			{"sampleSizeValue":"1", "sampleSizeUnit":"specimens" }	pbdb:occ:223251			de Heinzelin							present				J. de Heinzelin. 1983. The Omo Group: Archives of the International Omo Research Expedition. Musee Royal de l'Afrique Centrale, Annales Series 8, Tervuren, Belgique 85				ETE Size: both; ETE reference list: 88, ; ETE museum list: ENM, MNHN: Muséum National d'Histoire Naturelle, Paris, France						Theropithecus brumpti | Theropithecus Geoffroy 1843														bulk,selective quarrying						| ET |  |  |  |  |  |	Africa				Ethiopia	ET				Omo Valley, lat/long obtained from grid overlain on aerial photo	ET											5.0797	36.029999	not recorded (forced WGS84)		0.0001		5.0797	36.029999									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: Max = Tuff F , Min = Tuff G radiometric intage_min | lithostratigraphic description:ETE rock type adj: unconsolidated, ETE lithology comments: incorporates coarse materials, sandy silt,	Omo	Shungura	F	localbed:F1-2											Theropithecus Geoffroy 1843				1983	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:223323. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21547?id=pbdb-occ-223323		21547		PBDB	21547	Omo - L.127	FossilSpecimen			{"sampleSizeValue":"1", "sampleSizeUnit":"specimens", "geogscale":"basin" }	pbdb:occ:223323			Leakey							present				M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172				ETE Size: macro; ETE reference list: 88, ; ETE museum list: BMNH: British Museum (Natural History), ENM, KNM, MNHN: Muséum National d'Histoire Naturelle, Paris, France, UCBE						Theropithecus brumpti | Theropithecus Geoffroy 1843														surface (in situ)						| ET |  |  |  |  |  |	Africa				Ethiopia	ET				Omo River Valley, lat/long obtained from grid overlain on aerial photo	ET											5.0639	36.036098	not recorded (forced WGS84)		0.0001		5.0639	36.036098									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: Max = Tuff E, Min = Tuff F radiometric intage_min | lithostratigraphic description:ETE rock type adj: unconsolidated, ETE lithology comments: silty clay and silt in E-3-3, sand is obliqu	Omo	Shungura	E	localbed:E-3											Theropithecus Geoffroy 1843				1982	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:223382. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21555?id=pbdb-occ-223382		21555		PBDB	21555	Omo - L.9	FossilSpecimen			{"sampleSizeValue":"1", "sampleSizeUnit":"specimens", "geogscale":"basin" }	pbdb:occ:223382			Leakey							present				M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172				ETE Size: macro; ETE reference list: 415, 414, 412, 411, 409, 123, 121, 104, ; ETE museum list: BMNH: British Museum (Natural History), ENM, KNM, MNHN: Muséum National d'Histoire Naturelle, Paris, France, UCBE						Theropithecus brumpti | Theropithecus Geoffroy 1843														selective quarrying,surface (in situ)						| ET |  |  |  |  |  |	Africa				Ethiopia	ET				Omo River Valley, hominid site, lat/long obtained from grid overlain on aerial photo	ET											5.0939	36.022499	not recorded (forced WGS84)		0.0001		5.0939	36.022499									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: Max = Tuff D (2.52+-.05ma), Min = Tuff E radiometric intage_min | lithostratigraphic description:ETE rock type adj: unconsolidated, ETE lithology comments: upward-fining to silt, silty c	Omo	Shungura	D	localbed:D-5											Theropithecus Geoffroy 1843				1982	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:223427. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21564?id=pbdb-occ-223427		21564		PBDB	21564	Omo - L.12	FossilSpecimen			{"sampleSizeValue":"1", "sampleSizeUnit":"specimens", "geogscale":"basin" }	pbdb:occ:223427			Eck							present				G. Eck. 1977. Diversity and frequency distributions of Omo Group Cercopithecidae. Journal of Human Evolution 6:55-63				ETE Size: macro; ETE reference list: 425, ; ETE museum list: BMNH: British Museum (Natural History), ENM, KNM, MNHN: Muséum National d'Histoire Naturelle, Paris, France						Theropithecus brumpti | Theropithecus Geoffroy 1843														surface (in situ)						| ET |  |  |  |  |  |	Africa				Ethiopia	ET				Omo River Valley, lat/long obtained from grid overlain by aerial photo	ET											5.0942	36.0233	not recorded (forced WGS84)		0.0001		5.0942	36.0233									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: Max = Tuff D (2.52+-.05ma, correlated with Lokalalei Tuff at E.Turkana), Min = Tuff E radiometric intage_min | lithostratigraphic description:ETE rock type adj: unconsolidated, ETE litho	Omo	Shungura	D	localbed:D-1 to D-3											Theropithecus Geoffroy 1843				1977	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:223472. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21570?id=pbdb-occ-223472		21570		PBDB	21570	Omo - L.17	FossilSpecimen			{"sampleSizeValue":"4", "sampleSizeUnit":"specimens", "geogscale":"basin" }	pbdb:occ:223472			de Heinzelin							present				J. de Heinzelin. 1983. The Omo Group: Archives of the International Omo Research Expedition. Musee Royal de l'Afrique Centrale, Annales Series 8, Tervuren, Belgique 85				ETE Size: macro; ETE reference list: 104, ; ETE museum list: BMNH: British Museum (Natural History), ENM, KNM, MNHN: Muséum National d'Histoire Naturelle, Paris, France						Theropithecus brumpti | Theropithecus Geoffroy 1843														selective quarrying,surface (in situ)						| ET |  |  |  |  |  |	Africa				Ethiopia	ET				Omo Valley, adjacent to L.219, lat/long obtained from grid overlain on aerial photo	ET											5.0669	36.025002	not recorded (forced WGS84)		0.0001		5.0669	36.025002									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: Max = Tuff C (2.85+-.08ma), Min = Tuff D (2.52+-.05ma) radiometric intage_min | lithostratigraphic description:ETE rock type adj: unconsolidated, ETE lithology comments: sand, interstrat	Omo	Shungura	C	localbed:C-8											Theropithecus Geoffroy 1843				1983	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
PhysicalObject	10/27/2017	http://creativecommons.org/licenses/by-nc/4.0		http://vertnet.org/resources/norms.html	Paleobiology Database. Paleobiology Database Chordates. Record ID: pbdb:occ:223487. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	http://portal.vertnet.org/o/pbdb/21572?id=pbdb-occ-223487		21572		PBDB	21572	Omo - L.183	FossilSpecimen			{"sampleSizeValue":"1", "sampleSizeUnit":"specimens", "geogscale":"basin" }	pbdb:occ:223487			Feibel et al.							present				C. S. Feibel, F.H. Brown, and I. McDougall. 1989. Stratigraphic Context of Fossil hominids from the Omo Group Deposits: Northern Turkana Basin, Kenya and Ethiopia. American Journal of Physical Anthropology 78:595-622				ETE Size: macro; ETE reference list: 104, ; ETE museum list: BMNH: British Museum (Natural History), ENM, KNM						Theropithecus brumpti | Theropithecus Geoffroy 1843														selective quarrying,surface (in situ)						| ET |  |  |  |  |  |	Africa				Ethiopia	ET				Omo River Valley, hominid site, lat/long obtained from grid overlain on aerial photo	ET											5.0828	36.017502	not recorded (forced WGS84)		0.0001		5.0828	36.017502									requires verification											Gelasian				stratigraphic comments:ETE dating method: absolute, ETE age comment: Max = Tuff C (2.85+-.08ma), Min = Tuff D (2.52+-.05ma) radiometric intage_min | lithostratigraphic description:ETE rock type adj: unconsolidated, ETE lithology comments: fines up to silt	Omo	Shungura	C	localbed:C-5											Theropithecus Geoffroy 1843				1989	Chordata | Mammalia | Primates | Cercopithecidae | Theropithecus	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		brumpti		species	species	Geoffroy 1843	gelada	ICZN											Paleobiology Database. Paleobiology Database Chordates. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=pbdb_paleo (source published on 2017-11-05)	bb5b30b4-827e-4d5e-a86a-825d65cb6583	b711353c-44d7-4e8b-90c5-16fea0d247e0	admin@paleobiodb.org	Julian Jenkins	2017-11-05	2017-11-07	2017-09-19	0	0	0	1		specimen	0
